date,ticker,t,satisfied,date.1,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time,signal_id
6/27/2024,JD,2024-06-27 14:45:00+00:00,True,6/27/2024,2024-06-27 14:40:00+00:00,2024-06-27 14:00:00+00:00,26.884,19.230769,99.89011,2024-06-27T13:30:00,-6506035.791,1,-3053455.843,-9958615.739,Bullish,0.346245268,0.982066013,0.982182419,0.963371453,2024-06-26 19:59:00+00:00,2001
6/27/2024,MDT,2024-06-27 14:10:00+00:00,True,6/27/2024,2024-06-27 14:05:00+00:00,2024-06-27 14:00:00+00:00,78.91,46.373626,99.98779,2024-06-27T13:30:00,-4896513.341,1,5.68e+18,-5.68e+18,Bullish,0.883374471,0.905521357,0.905532017,0.700786041,2024-06-26 19:59:00+00:00,2002
6/27/2024,ONON,2024-06-27 16:05:00+00:00,True,6/27/2024,2024-06-27 16:00:00+00:00,2024-06-27 16:00:00+00:00,38.35,71.294261,98.205128,2024-06-27T15:30:00,55100.79926,1,830090.8994,-719889.3009,Bullish,0.643250782,0.944669396,0.944934532,0.900338748,2024-06-27 15:00:00+00:00,2003
6/27/2024,TMO,2024-06-27 15:55:00+00:00,True,6/27/2024,2024-06-27 15:50:00+00:00,2024-06-27 15:00:00+00:00,555.15,19.352869,97.789988,2024-06-27T13:30:00,-2541559.329,1,2.05e+16,-2.05e+16,Bullish,0.267910174,0.918009043,0.920567238,0.833819722,2024-06-27 14:00:00+00:00,2004
6/28/2024,CC,2024-06-28 18:30:00+00:00,True,6/28/2024,2024-06-28 18:25:00+00:00,2024-06-28 18:00:00+00:00,22.52,61.135531,99.810745,2024-06-28T17:30:00,-299674.6279,1,-177611.0427,-421738.2131,Bullish,0.458571007,0.870862473,0.909763919,0.870862473,2024-06-28 17:00:00+00:00,2005
6/28/2024,DHR,2024-06-28 19:50:00+00:00,True,6/28/2024,2024-06-28 19:45:00+00:00,2024-06-28 19:00:00+00:00,249.8499,35.494505,95.641026,2024-06-28T17:30:00,-1862471.129,1,-252158.8086,-3472783.449,Bullish,0.54051335,0.916633515,0.918651074,0.765361079,2024-06-28 18:00:00+00:00,2006
6/28/2024,ETN,2024-06-28 19:45:00+00:00,True,6/28/2024,2024-06-28 19:40:00+00:00,2024-06-28 19:00:00+00:00,311.135,45.43956,99.91453,2024-06-28T17:30:00,-1146453.947,1,-109726.1553,-2183181.738,Bullish,0.611293334,0.950002563,0.950037198,0.822129388,2024-06-28 18:00:00+00:00,2007
6/28/2024,GS,2024-06-28 19:55:00+00:00,True,6/28/2024,2024-06-28 19:50:00+00:00,2024-06-28 19:00:00+00:00,451.51,70.32967,76.007326,2024-06-28T17:30:00,1620716.621,1,6986737.664,-3745304.423,Bullish,0.448862451,0.842482377,0.842483392,0.573002104,2024-06-28 18:00:00+00:00,2008
6/28/2024,MDB,2024-06-28 19:20:00+00:00,True,6/28/2024,2024-06-28 19:15:00+00:00,2024-06-28 19:00:00+00:00,248.095,92.747253,86.117216,2024-06-28T17:30:00,3921783.594,1,5008744.496,2834822.691,Bullish,0.935587862,0.843643382,0.843643382,0.671241995,2024-06-28 18:00:00+00:00,2009
6/28/2024,NET,2024-06-28 19:50:00+00:00,True,6/28/2024,2024-06-28 19:45:00+00:00,2024-06-28 19:00:00+00:00,83.32,93.455433,97.808303,2024-06-28T17:30:00,7407595.429,1,9564356.12,5250834.738,Bullish,0.87526185,0.986482471,0.990476748,0.981384257,2024-06-28 18:00:00+00:00,2010
6/28/2024,OKTA,2024-06-28 19:05:00+00:00,True,6/28/2024,2024-06-28 19:00:00+00:00,2024-06-28 19:00:00+00:00,93.39,88.656899,97.118437,2024-06-28T17:30:00,1542868.059,1,2520814.181,564921.936,Bullish,0.791731904,0.967564883,0.967786026,0.818991749,2024-06-28 18:00:00+00:00,2011
6/28/2024,ON,2024-06-28 19:45:00+00:00,True,6/28/2024,2024-06-28 19:40:00+00:00,2024-06-28 19:00:00+00:00,68.185,49.62149,81.672772,2024-06-28T17:30:00,-7954220.596,1,-4030132.418,-11878308.77,Bullish,0.334225393,0.849142748,0.921701323,0.849139109,2024-06-28 18:00:00+00:00,2012
6/28/2024,QCOM,2024-06-28 15:25:00+00:00,True,6/28/2024,2024-06-28 15:20:00+00:00,2024-06-28 15:00:00+00:00,198.48,52.234432,91.111111,2024-06-28T13:30:00,-3020485.039,1,4402768.381,-10443738.46,Bullish,0.077614632,0.985991598,1.0,0.985991598,2024-06-28 14:00:00+00:00,2013
6/28/2024,ROKU,2024-06-28 14:55:00+00:00,True,6/28/2024,2024-06-28 14:50:00+00:00,2024-06-28 14:00:00+00:00,60.51,94.859585,99.761905,2024-06-28T13:30:00,6398028.003,1,9643173.389,3152882.617,Bullish,1.0,0.806414339,0.806414339,0.474549768,2024-06-27 19:59:00+00:00,2014
6/28/2024,SYM,2024-06-28 15:35:00+00:00,True,6/28/2024,2024-06-28 15:30:00+00:00,2024-06-28 15:00:00+00:00,34.72,99.291819,64.54823,2024-06-28T13:30:00,151914.8555,1,297271.0024,6558.708637,Bullish,0.99675216,0.757257444,0.91479021,0.757257444,2024-06-28 14:00:00+00:00,2015
6/28/2024,TMO,2024-06-28 19:45:00+00:00,True,6/28/2024,2024-06-28 19:40:00+00:00,2024-06-28 19:00:00+00:00,547.73,0.970696,99.920635,2024-06-28T17:30:00,-2657796.892,1,6881560000000000.0,-6881560000000000.0,Bullish,0.191905465,0.967969136,0.986054564,0.914303657,2024-06-28 18:00:00+00:00,2016
7/1/2024,AAP,2024-07-01 14:40:00+00:00,True,7/1/2024,2024-07-01 14:35:00+00:00,2024-07-01 14:00:00+00:00,61.955,78.815629,93.840049,2024-07-01T13:30:00,-387801.698,1,6.1e+68,-6.1e+68,Bullish,0.474697837,0.895134488,0.925697034,0.887112378,2024-06-28 19:59:00+00:00,2017
7/1/2024,BBY,2024-07-01 15:45:00+00:00,True,7/1/2024,2024-07-01 15:40:00+00:00,2024-07-01 15:00:00+00:00,82.755,51.233211,97.533578,2024-07-01T13:30:00,-4455865.48,1,-625966.5531,-8285764.407,Bullish,0.182645075,0.845163503,0.861774713,0.809154042,2024-07-01 14:00:00+00:00,2018
7/1/2024,CELH,2024-07-01 14:35:00+00:00,True,7/1/2024,2024-07-01 14:30:00+00:00,2024-07-01 14:00:00+00:00,58.135,98.192918,75.372405,2024-07-01T13:30:00,-3541363.859,1,162756.1818,-7245483.901,Bullish,0.568801399,0.868944766,0.940512424,0.868898775,2024-06-28 19:59:00+00:00,2019
7/1/2024,CI,2024-07-01 18:00:00+00:00,True,7/1/2024,2024-07-01 17:55:00+00:00,2024-07-01 16:59:00+00:00,327.465,48.791209,100.0,2024-07-01T15:30:00,-826626.3993,1,-37195.55834,-1616057.24,Bullish,0.616100748,0.839936628,0.841656461,0.522912015,2024-07-01 16:00:00+00:00,2020
7/1/2024,CMG,2024-07-01 14:10:00+00:00,True,7/1/2024,2024-07-01 14:05:00+00:00,2024-07-01 14:00:00+00:00,61.01,8.644689,93.840049,2024-07-01T13:30:00,-61440352.7,1,3706566.231,-126587271.6,Bullish,0.0,0.754851326,0.814251568,0.697244532,2024-06-28 19:59:00+00:00,2021
7/1/2024,COIN,2024-07-01 17:40:00+00:00,True,7/1/2024,2024-07-01 17:35:00+00:00,2024-07-01 17:00:00+00:00,231.312,99.365079,60.537241,2024-07-01T15:30:00,11484208.62,1,19842564.33,3125852.915,Bullish,0.655827638,0.765786725,0.853446189,0.76547252,2024-07-01 16:00:00+00:00,2022
7/1/2024,DXCM,2024-07-01 19:35:00+00:00,True,7/1/2024,2024-07-01 19:30:00+00:00,2024-07-01 19:00:00+00:00,111.57,79.096459,92.008547,2024-07-01T17:30:00,-6527709.028,1,-3702904.33,-9352513.726,Bullish,0.504413074,0.851873741,0.852661904,0.845690038,2024-07-01 18:00:00+00:00,2023
7/1/2024,ETN,2024-07-01 16:05:00+00:00,True,7/1/2024,2024-07-01 16:00:00+00:00,2024-07-01 16:00:00+00:00,310.38,72.649573,98.681319,2024-07-01T15:30:00,-1103938.189,1,85197.43662,-2293073.814,Bullish,0.643677843,0.924051254,0.940913887,0.899889099,2024-07-01 15:00:00+00:00,2024
7/1/2024,FIS,2024-07-01 17:10:00+00:00,True,7/1/2024,2024-07-01 17:05:00+00:00,2024-07-01 17:00:00+00:00,74.95,88.412698,82.203907,2024-07-01T15:30:00,1493390.894,1,4959122.066,-1972340.279,Bullish,0.327290867,0.803959996,0.886029322,0.802343772,2024-07-01 16:00:00+00:00,2025
